35993098000100,Z.A. DIGITAL DE SAO PAULO SISTEMA DE ESTACIONAMENTO ROTATIVO S.A.,ZAD SAO PAULO                           ,AV PRES JUSCELINO KUBITSCHEK,1830, ANDAR 2 BLOCO 3,VILA NOVA CONCEICAO,SÃO PAULO,,Brasil,65002199,,82.99-7-99 /74.90-1-04,,Lucro Real,,,,,,
86783768010833,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM WALL STREET - WP,AV LUIS VIANA,6462,COND   WALL STREET,PARALELA,SALVADOR,,Brasil,10304006322,,52.23-1-00,,Lucro Real,,,,,,
86783768010752,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,TERR S RAIMUNDO - WP,R SAO RAIMUNDO,SN,,POLITEAMA,SALVADOR,,Brasil,10304006249,,52.23-1-00,,Lucro Real,,,,,,
86783768010671,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM COSTA ANDRADE - WP,R CORONEL ALMERINDO REHEM ,126,DIF   EMPRESARIAL COSTA AN,CAMINHO DAS ARVORES,SALVADOR,,Brasil,10304006165,,52.23-1-00,,Lucro Real,,,,,,
86783768010329,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,CE COM HANGAR - WP,AV LUIS VIANA,13223,,SAO CRISTOVAO,SALVADOR,,Brasil,10304005829,,52.23-1-00,,Lucro Real,,,,,,
86783768009746,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM VITRAUX - WP,R SOL NASCENTE,43,,RIO VERMELHO,SALVADOR,,Brasil,10304005746,,52.23-1-00,,Lucro Real,,,,,,
86783768008855,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM LIZ EMPRESARIAL - WP,R FREDERICO SIMOES ,125,EDIF   LIZ EMPRESARIAL,CAMINHO DAS ARVORES,SALVADOR,,Brasil,10304005415_SUSPENSA,,52.23-1-00,,Lucro Real,,,,,,
86783768007700,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM PRIME TOWER - WP,AV PROFESSOR MAGALHAES NETO,1550,EDIF   PREMIER TOWER EMPRES,PITUBA,SALVADOR,,Brasil,10304004830,,52.23-1-00,,Lucro Real,,,,,,
86783768007450,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,TERR SAWAYA - WP,AV SAMPAIO ,1120,,CENTRO,FEIRA DE SANTANA,,Brasil,468576,,52.23-1-00,,Lucro Real,,,,,,
86783768006720,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM ATLANTA - WP,R DOUTOR JOSE PEROBA ,297,EDIF   ATLANTA EMPRESARIAL,STIEP,SALVADOR,,Brasil,10304004426_SUSPENSA,,52.23-1-00,,Lucro Real,,,,,,
86783768006569,WELLPARK - ESTACIONAMENTOS E SERVICOS LTDA.,ED COM ATLANTIS - WP,R ALTINO SERBETO DE BARROS,173,,ITAIGARA,SALVADOR,,Brasil,10304004269_SUSPENSA,,52.23-1-00,,Lucro Real,,,,,,
